"GEO_ID","NAME","B28003_001E","B28003_001EA","B28003_001M","B28003_001MA","B28003_002E","B28003_002EA","B28003_002M","B28003_002MA","B28003_003E","B28003_003EA","B28003_003M","B28003_003MA","B28003_004E","B28003_004EA","B28003_004M","B28003_004MA","B28003_005E","B28003_005EA","B28003_005M","B28003_005MA","B28003_006E","B28003_006EA","B28003_006M","B28003_006MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Has a computer:","Annotation of Estimate!!Total:!!Has a computer:","Margin of Error!!Total:!!Has a computer:","Annotation of Margin of Error!!Total:!!Has a computer:","Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Annotation of Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Margin of Error!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Annotation of Margin of Error!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription","Annotation of Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription","Margin of Error!!Total:!!Has a computer:!!With a broadband Internet subscription","Annotation of Margin of Error!!Total:!!Has a computer:!!With a broadband Internet subscription","Estimate!!Total:!!Has a computer:!!Without an Internet subscription","Annotation of Estimate!!Total:!!Has a computer:!!Without an Internet subscription","Margin of Error!!Total:!!Has a computer:!!Without an Internet subscription","Annotation of Margin of Error!!Total:!!Has a computer:!!Without an Internet subscription","Estimate!!Total:!!No computer","Annotation of Estimate!!Total:!!No computer","Margin of Error!!Total:!!No computer","Annotation of Margin of Error!!Total:!!No computer",
"0500000US01065","Hale County, Alabama","5650","null","231","null","4089","null","252","null","11","null","12","null","3419","null","256","null","659","null","135","null","1561","null","184","null",
"0500000US01067","Henry County, Alabama","6630","null","236","null","5594","null","258","null","32","null","31","null","4905","null","239","null","657","null","143","null","1036","null","201","null",
"0500000US01069","Houston County, Alabama","39311","null","452","null","32609","null","448","null","278","null","73","null","29163","null","436","null","3168","null","239","null","6702","null","300","null",
"0500000US01071","Jackson County, Alabama","20695","null","494","null","16651","null","525","null","81","null","64","null","14453","null","523","null","2117","null","301","null","4044","null","402","null",
"0500000US01073","Jefferson County, Alabama","261231","null","1769","null","229504","null","2105","null","564","null","125","null","205140","null","2265","null","23800","null","1156","null","31727","null","1282","null",
"0500000US01075","Lamar County, Alabama","5856","null","268","null","4475","null","300","null","55","null","38","null","3670","null","261","null","750","null","153","null","1381","null","208","null",
"0500000US01077","Lauderdale County, Alabama","38471","null","588","null","32247","null","655","null","149","null","84","null","27468","null","775","null","4630","null","501","null","6224","null","473","null",
"0500000US01079","Lawrence County, Alabama","12677","null","322","null","9708","null","457","null","117","null","78","null","7806","null","383","null","1785","null","279","null","2969","null","350","null",
"0500000US01081","Lee County, Alabama","60237","null","864","null","55201","null","898","null","228","null","122","null","48986","null","1027","null","5987","null","634","null","5036","null","527","null",
"0500000US01083","Limestone County, Alabama","32143","null","509","null","28297","null","558","null","162","null","93","null","25556","null","643","null","2579","null","397","null","3846","null","407","null",
"0500000US01085","Lowndes County, Alabama","4251","null","145","null","2914","null","201","null","31","null","31","null","2163","null","192","null","720","null","145","null","1337","null","159","null",
"0500000US01087","Macon County, Alabama","7474","null","264","null","5756","null","287","null","32","null","29","null","4411","null","282","null","1313","null","182","null","1718","null","181","null",
"0500000US01089","Madison County, Alabama","148189","null","1035","null","137171","null","1043","null","326","null","128","null","127191","null","1174","null","9654","null","704","null","11018","null","781","null",
"0500000US01091","Marengo County, Alabama","7361","null","331","null","5297","null","353","null","38","null","27","null","4303","null","329","null","956","null","212","null","2064","null","276","null",
"0500000US01093","Marion County, Alabama","11997","null","363","null","9415","null","411","null","69","null","44","null","7722","null","394","null","1624","null","259","null","2582","null","312","null",
"0500000US01095","Marshall County, Alabama","34883","null","428","null","29906","null","549","null","29","null","18","null","27430","null","609","null","2447","null","325","null","4977","null","412","null",
"0500000US01097","Mobile County, Alabama","156251","null","1081","null","132778","null","1483","null","1363","null","388","null","115058","null","1663","null","16357","null","910","null","23473","null","939","null",
"0500000US01099","Monroe County, Alabama","8166","null","294","null","4279","null","349","null","52","null","52","null","3207","null","295","null","1020","null","223","null","3887","null","361","null",
"0500000US01101","Montgomery County, Alabama","89527","null","878","null","78385","null","952","null","204","null","98","null","70345","null","1010","null","7836","null","546","null","11142","null","638","null",
"0500000US01103","Morgan County, Alabama","45918","null","654","null","39192","null","792","null","110","null","60","null","34079","null","835","null","5003","null","545","null","6726","null","623","null",
"0500000US01105","Perry County, Alabama","3070","null","314","null","1832","null","305","null","40","null","54","null","1602","null","323","null","190","null","100","null","1238","null","249","null",
"0500000US01107","Pickens County, Alabama","7637","null","279","null","5833","null","255","null","46","null","34","null","4978","null","273","null","809","null","175","null","1804","null","191","null",
"0500000US01109","Pike County, Alabama","11601","null","426","null","8703","null","453","null","132","null","91","null","7634","null","461","null","937","null","175","null","2898","null","384","null",
